DATE,HOUR,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DRYBULB,DEWPNT
2013-01-01 00:00:00,0,2974.1,3073.0,78.08,79.34,0.0,-1.26,96.34,98.56,0.0,-2.22,34,21
2013-01-01 01:00:00,1,2781.9,2908.0,64.84,65.81,0.0,-0.97,117.47,119.2,0.0,-1.73,35,21
2013-01-01 02:00:00,2,2685.8,2793.0,67.77,68.47,0.0,-0.7,34.89,35.41,0.0,-0.52,35,21
2013-01-01 03:00:00,3,2648.8,2722.0,49.4,50.01,0.0,-0.61,32.12,32.61,0.0,-0.49,35,22
2013-01-01 04:00:00,4,2669.6,2717.0,50.77,51.47,0.0,-0.7,34.6,35.14,0.0,-0.54,34,22
2013-01-01 05:00:00,5,2812.2,2774.0,49.71,50.75,0.0,-1.04,34.65,35.2,0.0,-0.55,34,23
2013-01-01 06:00:00,6,3078.3,2872.0,75.0,76.47,0.0,-1.47,33.84,34.41,0.0,-0.57,33,23
2013-01-01 07:00:00,7,3284.7,2937.0,63.63,65.01,0.0,-1.38,22.84,23.24,0.0,-0.4,32,23
2013-01-01 08:00:00,8,3462.2,3082.0,73.85,75.1,0.0,-1.25,41.01,41.83,0.0,-0.82,32,23
2013-01-01 09:00:00,9,3625.4,3276.0,76.72,78.08,0.0,-1.36,45.52,46.5,0.0,-0.98,34,23
2013-01-01 10:00:00,10,3715.0,3453.0,92.58,93.56,0.0,-0.98,53.53,54.49,0.0,-0.96,34,20
2013-01-01 11:00:00,11,3747.0,3568.0,99.81,100.31,0.0,-0.5,59.18,60.02,0.0,-0.84,34,19
2013-01-01 12:00:00,12,3737.4,3617.0,99.86,100.37,0.0,-0.51,71.92,73.04,0.0,-1.12,34,19
2013-01-01 13:00:00,13,3663.1,3616.0,97.14,97.58,0.0,-0.44,56.76,57.55,0.0,-0.79,35,18
2013-01-01 14:00:00,14,3652.2,3601.0,92.67,93.09,0.0,-0.42,40.13,40.57,0.0,-0.44,33,17
2013-01-01 15:00:00,15,3736.6,3606.0,79.52,80.32,0.0,-0.8,64.61,65.36,0.0,-0.75,31,14
2013-01-01 16:00:00,16,4036.6,3930.0,115.72,117.22,0.0,-1.5,127.59,129.51,0.0,-1.92,30,12
2013-01-01 17:00:00,17,4410.9,4340.0,155.1,156.7,0.0,-1.6,124.98,126.61,0.0,-1.63,29,11
2013-01-01 18:00:00,18,4395.6,4337.0,150.0,148.11,3.23,-1.34,177.57,179.2,0.0,-1.63,27,12
2013-01-01 19:00:00,19,4286.3,4244.0,132.98,133.79,0.0,-0.81,136.37,137.12,0.0,-0.75,26,9
2013-01-01 20:00:00,20,4122.7,4104.0,125.27,125.28,0.0,-0.01,127.88,128.24,0.0,-0.36,24,5
2013-01-01 21:00:00,21,3935.2,3854.0,109.91,109.69,0.0,0.22,96.18,96.25,0.0,-0.07,22,5
2013-01-01 22:00:00,22,3588.2,3531.0,99.02,100.7,0.0,-1.68,69.54,69.98,0.0,-0.44,21,6
2013-01-01 23:00:00,23,3261.3,3238.0,82.47,83.83,0.0,-1.36,61.38,62.22,0.0,-0.84,19,7
2013-01-02 00:00:00,0,3101.6,3048.0,77.08,78.57,0.0,-1.49,64.16,64.93,0.0,-0.77,19,7
2013-01-02 01:00:00,1,2987.1,2969.0,57.02,58.22,0.0,-1.2,48.19,48.7,0.0,-0.51,17,6
2013-01-02 02:00:00,2,2896.2,2947.0,60.69,61.94,0.0,-1.25,36.18,36.62,0.0,-0.44,16,7
2013-01-02 03:00:00,3,2881.6,2961.0,60.02,61.29,0.0,-1.27,34.88,35.33,0.0,-0.45,17,7
2013-01-02 04:00:00,4,2933.4,3066.0,60.47,61.79,0.0,-1.32,27.16,27.49,0.0,-0.33,15,6
2013-01-02 05:00:00,5,3152.1,3360.0,78.01,80.35,0.0,-2.34,59.62,60.08,0.0,-0.46,16,6
2013-01-02 06:00:00,6,3635.8,3899.0,118.88,119.35,0.0,-0.47,114.56,114.82,0.0,-0.26,15,5
2013-01-02 07:00:00,7,3930.4,4211.0,124.41,124.01,0.0,0.4,117.0,116.85,0.0,0.15,15,6
2013-01-02 08:00:00,8,4002.8,4264.0,124.16,123.98,0.0,0.18,113.77,113.59,0.0,0.18,15,6
